"phase","stage_order","layer","sub_layer","workflow_step","purpose","what_happens","input_data","processing_logic","aws_service","storage_location","output_data","dependencies","why_this_step_exists","failure_risk","validation_check","cost_impact","beginner_explanation"
"1. Project initiation and scope","1.1","Program","Charter","Freeze MVP scope and success criteria","Align stakeholders on what JMI will and will not do in phase one","Team agrees on sources, layers, cadence, cost ceiling, and demo outcome","Business questions; budget cap; compliance constraints","Document MVP: Arbeitnow live API first; Bronze-Silver-Gold; optional AWS serverless path; dashboard for aggregates","Not applicable","Version-controlled docs (e.g. docs/architecture.md; README.md)","Signed-off scope statement and run order expectations","None","Prevents scope creep that breaks lineage or budget","Scope disagreements surface late","Checklist: sources listed; layers named; cost cap noted","No AWS spend until account setup; only people time","You decide what problem the pipeline solves before touching cloud or code."
"1. Project initiation and scope","1.2","Program","Roles","Assign owner for data, cloud, and analytics","Clarify who approves AWS changes, who runs local pipelines, who owns dashboards","RACI or simple owner list","Name owners for ingest code, IAM, Athena DDL, QuickSight, and cost alarms","Not applicable","Team wiki or README notes","Accountable contacts per workstream","Scope freeze 1.1","Avoids blocked deploys and silent config drift","Single human bottleneck","Each area has a named approver","Zero direct dollar impact","Like assigning who locks the doors versus who cooks dinner—fewer mistakes.",""
"1. Project initiation and scope","1.3","Engineering","Repository baseline","Clone repo; understand local versus AWS boundary","Developers install Python 3.11+; read README local execution order; note infra/aws is deployment-only","Source tree; requirements.txt","pip install -r requirements.txt; run modules in order ingest then silver then gold","Not applicable (local); later Lambda uses same modules","Local workspace; data/ directory created on first run","Runnable local pipeline matching production logic","Python available","Same transforms in prod and dev reduce surprises","Wrong Python version breaks pyarrow or pandas","python --version; pip check","Free on laptop","You practice the recipe at home before cooking for a party.",""
"2. Source selection","2.1","Source","Primary live API","Select Arbeitnow as first live source","Confirm API endpoint, rate limits, fields needed for job_id and raw_payload","Public job board JSON over HTTPS","GET https://www.arbeitnow.com/api/job-board-api; parse data array","Not applicable (HTTPS egress only)","N/A for source system","List of job objects per pull","Network egress from Lambda or laptop","Establishes first trustworthy external signal","API downtime or schema change","HTTP 200; non-empty data key","Egress negligible; no S3 until ingest writes","Pick one faucet you trust before building the plumbing.",""
"2. Source selection","2.2","Source","Future CSV historical","Plan batch CSV landing for backfill","Design expects future files in a controlled drop zone with schema contract","Historical extracts from HR or job feeds","Validate headers; map to same Bronze envelope as API jobs; separate source= partition","Amazon S3 (future prefix)","s3://<bucket>/landing/csv/source=<name>/ingest_date=YYYY-MM-DD/","Staged CSV plus manifest","Arbeitnow patterns proven","Enables trend baselines without rewriting Gold logic","Schema mismatch versus Silver expectations","Row count versus manifest; sample hash","Storage pennies per GB-month; optional Glue crawlers","Old photo albums go in the same labeled box—just a different shelf.",""
"2. Source selection","2.3","Source","Future trend signals","Reserve design hook for macro or web trend feeds","Document that new feeds join via new source_slug and Bronze contract","Third-party indices or SERP signals (future)","Ingest as raw JSON or CSV without Silver cleaning; standardize only in Silver","Not applicable until built","Future s3://<bucket>/bronze/source=<signal>/ingest_date=.../run_id=.../","Raw signal snapshots","Core pipeline stable","Avoids mixing unrelated semantics in one table","Vendor lock or terms-of-use breach","Legal review checklist","Usually API fees plus storage; monitor with budgets","New thermometer in the house—still read it from the same hallway panel.",""
"3. AWS setup and guardrails","3.1","Cloud foundation","Account safety","Enable MFA; dedicated profile; separate dev/prod if required","Human configures AWS CLI profiles and break-glass procedures","IAM user or role with MFA; billing alerts","IAM; AWS Organizations (optional)","Console plus local ~/.aws/credentials","Secure admin path","None","Stops accidental spend and credential leaks","Shared root credentials","MFA on; no long-lived root keys","No compute yet; IAM free tier friendly","Lock the front door before filling the house with furniture.","",""
"3. AWS setup and guardrails","3.2","Cost","Budgets and alarms","Attach budget alarm to account or project tag near the documented MVP cap","Create AWS Budgets threshold; SNS or email alert","Monthly cap number from runbook","Set threshold at agreed MVP ceiling; tag Lambdas and S3 for cost allocation","AWS Budgets; Amazon SNS","N/A","Alarm subscriptions firing on forecast breach","Account access","Micro-batch can still spike if misconfigured","Wrong budget scope misses Lambda","Budget shows actual versus forecast","Budgets and SNS mostly free at tiny scale; avoids runaway Lambda and S3","Smoke alarm for your AWS bill.",""
"3. AWS setup and guardrails","3.3","Storage","S3 data lake bucket","Create bucket with Bronze, Silver, Gold, quality, health prefixes; block public access","Terraform or Console creates bucket; encryption at rest","Approved region; bucket name","Partition-friendly key layout under bronze/ silver/ gold/ quality/ health/","Amazon S3","s3://<jmi-bucket>/bronze/... and silver/... and gold/...","Empty bucket ready for writes","IAM from 3.1","Central durable store for all layers","Misconfigured public ACL","Block Public Access on; SSE-S3 or KMS","About $0.023 per GB-month storage; requests pennies at MVP frequency","One big filing cabinet in the cloud for all pipeline folders.",""
"3. AWS setup and guardrails","3.4","Compute","Lambda functions packaged","Package ingest, silver, gold handlers with src.jmi modules and dependencies","Build zip or container; set env JMI_DATA_ROOT to s3://...; set chained function name vars","Source code; requirements","Deploy three functions: ingest invokes silver asynchronously; silver invokes gold","AWS Lambda","N/A (function ARNs)","Deployed functions with IAM execution roles","S3 bucket 3.3; IAM policies","Serverless execution matches micro-batch cadence","Cold start latency; package too large","Test invoke with small payload","Per-invocation millisecond billing; keep memory right-sized (for example 512–1024 MB trial)","Rent a worker that wakes up on a timer instead of paying 24/7 servers.",""
"3. AWS setup and guardrails","3.5","Orchestration","EventBridge schedule","Attach rule rate(4 hours) targeting ingest Lambda; start DISABLED until validation","Create EventBridge rule; IAM role allows invoke Lambda","Lambda ARN; schedule expression","Rule triggers async Lambda invoke with static input JSON","Amazon EventBridge","N/A (rule metadata)","Scheduled triggers (disabled until ready)","Lambda ARNs","Automates micro-batch without servers","Infinite retry storms if downstream fails silently","Rule State=DISABLED until green run","EventBridge custom bus negligible; invocations billed as Lambda","An alarm clock that calls the first robot in the chain.",""
"3. AWS setup and guardrails","3.6","Security","Least-privilege IAM","Lambda roles read and write only required prefixes; EventBridge invoke only target functions","Attach JSON policies under infra/aws/iam to roles","Policy documents","Grant s3:GetObject and PutObject on prefixes; lambda:InvokeFunction on silver and gold; logs permissions","AWS IAM","N/A","Restricted role ARNs","Bucket and functions exist","Limits blast radius of a bug","Overly broad s3:* on bucket","Policy simulator pass for sample keys","IAM free; wrong policy can increase data transfer—review paths","Give each robot a key that only opens its own drawers.",""
"4. Ingestion workflow","4.1","Ingestion","Manual developer run (local)","Engineer runs python -m src.jmi.pipelines.ingest_live for ad-hoc testing","Process pulls API; writes Bronze; updates health pointer","Laptop; internet; empty or existing data/ tree","fetch_live_jobs then to_bronze_record per row then attach run_id and bronze_ingest_date","Not applicable","Local data/bronze/source=arbeitnow/ingest_date=.../run_id=.../","raw.jsonl.gz; manifest.json; latest_ingest.json","Local env from section 1.3","Fast feedback without AWS","Corporate proxy blocks API","curl or script checks API reachable","Zero AWS cost","Practice catching fish at the dock before loading the truck.",""
"4. Ingestion workflow","4.2","Ingestion","Automated scheduled run (AWS)","EventBridge fires ingest Lambda on cadence when enabled","Lambda handler calls same ingest_run(); then async-invokes silver with bronze path","Schedule tick","ingest_handler uses boto3 lambda.invoke Event to silver with bronze_file and run_id","AWS Lambda; Amazon EventBridge","S3 keys under s3://<bucket>/bronze/source=arbeitnow/ingest_date=.../run_id=.../","Bronze objects plus downstream invoke payload","Functions deployed 3.4; schedule 3.5","Keeps lake fresh with no human cron","Partial write if Lambda times out","CloudWatch Logs show success; manifest record_count greater than 0","Four-hour cadence reduces invoke count versus aggressive polling; keep Lambda memory right-sized","The timer rings; the collector robot grabs new jobs and files them.",""
"4. Ingestion workflow","4.3","Ingestion","No cleaning rule","Ingestion stores raw_payload verbatim aside from envelope fields","Ensures Bronze stays an immutable snapshot of the source","API JSON objects","Only add metadata: source, schema_version, job_id, timestamps, run lineage fields","Not applicable","Bronze path","Lossless raw_payload inside gzip JSONL","None","Preserves auditability and replay","Accidental transformation in ingest","Spot-check one record matches API","No extra compute beyond gzip","Take a photo first; edit copies later—not the negative.",""
"4. Ingestion workflow","4.4","Ingestion","Deterministic job_id assignment","Each job gets stable hash-based id: slug then url then fallback text and time","Enables idempotent dedup downstream","Raw fields slug, url, title, company, location, created_at","SHA-256 over canonical strings with strategy label stored","Not applicable","Inside each Bronze JSON line","job_id and job_id_strategy per record","API response","Same job maps to same key across runs","Hash collision (extremely rare)","Duplicate rate monitored in Silver checks","CPU microseconds per row","Give every resume a barcode so duplicates are obvious.",""
"4. Ingestion workflow","4.5","Execution mode","Manual versus automated contrast","Clarify when humans run locally versus when EventBridge runs in AWS","Developer laptop actions versus scheduled cloud","Same Python modules; different triggers and JMI_DATA_ROOT target (local disk versus s3://)","Local: Not applicable; AWS: EventBridge plus Lambda","Local data/ versus s3://<bucket>/...","Identical logic; different entrypoints","Understanding both paths","Assuming parity without testing both","Run same flow locally then AWS test invoke","Local free; AWS per invoke","Practice piano alone; concert is the automatic schedule.","","",""
"5. Bronze workflow","5.1","Bronze","Partitioned raw snapshot","Write gzip JSONL under source and ingest_date and run_id partitions","Organizes data for Athena partition pruning and lineage tracing","Bronze record list","write_jsonl_gz to path template; local Path or s3:// via boto3 put_object","Amazon S3 (AWS); local disk (dev)","s3://<bucket>/bronze/source=arbeitnow/ingest_date=YYYY-MM-DD/run_id=<ts-uuid>/raw.jsonl.gz","Compressed line-delimited JSON","Successful ingest 4.x","Immutable layer for replay and compliance","Disk full or S3 permission denied","File exists; byte size greater than 0; line count versus manifest","S3 PUT and storage per GB; gzip reduces size","Labeled shoebox: which store (source) and which day and which batch (run_id).",""
"5. Bronze workflow","5.2","Bronze","Manifest sidecar","Write manifest.json with counts, paths, schema_version","Operators verify batch completeness without scanning full file","In-memory ingest summary","json.dumps manifest next to raw.jsonl.gz","Amazon S3 or local","Same folder as raw.jsonl.gz","manifest.json","Bronze file written","Operational clarity","Manifest out of sync with file","record_count matches decompressed lines","One tiny extra object per run","Receipt taped to the outside of the shoebox.",""
